link,title
,
#mw-head,Saltar para a navegação
#p-search,Saltar para a pesquisa
/wiki/Ficheiro:Out_of_date_clock_icon.svg,
/wiki/Wikip%C3%A9dia:FF,fontes válidas
/wiki/Ficheiro:Avatar-Teaser-Poster.jpg,
/wiki/Ficheiro:Poster_-_Gone_With_the_Wind_01.jpg,
/wiki/Avatar_(filme),Avatar
/wiki/Gone_with_the_Wind,Gone with the Wind
/wiki/Infla%C3%A7%C3%A3o,ajuste inflacionário
/wiki/Filme,filme
/wiki/Home_video,vendas de mídia para o público
/wiki/Variety,Variety
/wiki/Box_Office_Mojo,Box Office Mojo
/wiki/Filme_de_guerra,filmes de guerra
/wiki/Filme_musical,musicais
/wiki/S%C3%A9culo_XX,século XX
/wiki/D%C3%A9cada_de_2000,década de 2000
/wiki/Fantasia_(g%C3%AAnero),fantasia
/wiki/Harry_Potter,Harry Potter
/wiki/Terra_M%C3%A9dia#Filmes,Terra Média
/wiki/Pirates_of_the_Caribbean_(s%C3%A9rie_de_filmes),Pirates of the Caribbean
/wiki/Transformers_(franquia),Transformers
/wiki/Super-her%C3%B3i,super-heróis
/wiki/Batman#Cinema,Batman
/wiki/Superman,Superman
/wiki/DC_Comics,DC Comics
/wiki/Marvel_Comics,Marvel
/wiki/Homem-Aranha_no_cinema,Homem-Aranha
/wiki/X-Men_(s%C3%A9rie_de_filmes),X-Men
/wiki/Universo_Cinematogr%C3%A1fico_Marvel,Universo Cinematográfico Marvel
/wiki/Avatar_(filme),Avatar
/wiki/Titanic_(1997),Titanic
/wiki/James_Cameron,James Cameron
/wiki/Computa%C3%A7%C3%A3o_gr%C3%A1fica,computação gráfica
/wiki/Zootopia,Zootopia
/wiki/Frozen_(2013),Frozen
/wiki/Walt_Disney_Animation_Studios,Walt Disney Animation Studios
/wiki/Toy_Story,Toy Story
/wiki/Finding_Nemo,Finding Nemo
/wiki/Up_(filme),Up
/wiki/Pixar,Pixar Animation Studios
/wiki/The_Walt_Disney_Company,The Walt Disney Company
/wiki/Shrek_(s%C3%A9rie),Shrek
/wiki/Madagascar_(filme),Madagascar
/wiki/DreamWorks_Animation,DreamWorks Animation
/wiki/Ice_Age_(s%C3%A9rie_de_filmes),Ice Age
/wiki/Blue_Sky_Studios,Blue Sky Studios
/wiki/Despicable_Me,Despicable Me
/wiki/Illumination_Entertainment,Illumination Entertainment
/wiki/O_Rei_Le%C3%A3o,O Rei Leão
/wiki/Walt_Disney_Pictures,Walt Disney Pictures
/wiki/D%C3%B3lar_dos_Estados_Unidos,US$
/wiki/Infla%C3%A7%C3%A3o,inflação
/wiki/James_Bond,James Bond
/wiki/Star_Trek,Star Trek
/wiki/Star_Wars,Star Wars
/wiki/D%C3%A9cada_de_1990,década de 90
/wiki/Star_Wars:_O_Despertar_da_For%C3%A7a,O Despertar da Força
/wiki/Gone_with_the_Wind,Gone with the Wind
/wiki/D%C3%B3lar_dos_Estados_Unidos,dólares
#Maiores_bilheterias_mundiais, 
#Ajustes_pela_inflação, 
#Franquias_com_maiores_bilheterias_mundiais, 
#Filmes_mais_vistos_no_Brasil, 
#Espectadores, 
#Bilheteria, 
#Filmes_brasileiros, 
#Filmes_mais_vistos_em_Portugal, 
#Geral, 
#Filmes_portugueses, 
#Ver_também, 
#Notas_e_referências, 
#Notas, 
#Referências, 
#Ligações_externas, 
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&veaction=edit&section=1,editar
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&action=edit&section=1,editar código-fonte
/wiki/Infla%C3%A7%C3%A3o,inflação
/wiki/Avengers:_Age_of_Ultron,
/wiki/D%C3%B3lar_dos_Estados_Unidos,US$
/wiki/2009_no_cinema,2009
/wiki/Avatar_(filme),Avatar
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-1,1
/wiki/1997_no_cinema,1997
/wiki/Titanic_(1997),Titanic
/wiki/Paramount_Pictures,Paramount Pictures
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-2,2
/wiki/2015_no_cinema,2015
/wiki/Star_Wars:_O_Despertar_da_For%C3%A7a,Star Wars: The Force Awakens
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-3,3
/wiki/2018_no_cinema,2018
/wiki/Avengers:_Infinity_War,Avengers: Infinity War
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-4,4
/wiki/2015_no_cinema,2015
/wiki/Jurassic_World,Jurassic World
/wiki/Universal_Pictures,Universal Pictures
#cite_note-5,5
/wiki/2012_no_cinema,2012
/wiki/Os_Vingadores_(2012),Marvel's The Avengers
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-6,6
/wiki/2015_no_cinema,2015
/wiki/Furious_7,Furious 7
/wiki/Universal_Pictures,Universal Pictures
#cite_note-vlz7-7,7
/wiki/2015_no_cinema,2015
/wiki/Avengers:_Age_of_Ultron,Avengers: Age of Ultron
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-mojo-8,8
/wiki/2018_no_cinema,2018
/wiki/Black_Panther_(filme),Black Panther
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-9,9
/wiki/2011_no_cinema,2011
/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,Harry Potter and the Deathly Hallows – Part 2
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-hp72-10,10
/wiki/2017_no_cinema,2017
/wiki/Star_Wars:_Os_%C3%9Altimos_Jedi,Star Wars: The Last Jedi
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-11,11
/wiki/2018_no_cinema,2018
/wiki/Jurassic_World:_Fallen_Kingdom,Jurassic World: Fallen Kingdom
/wiki/Universal_Pictures,Universal Pictures
#cite_note-12,12
/wiki/2013_no_cinema,2013
/wiki/Frozen_(2013),Frozen
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-frozen-13,13
/wiki/2017_no_cinema,2017
/wiki/Beauty_and_the_Beast_(2017),Beauty and the Beast
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-14,14
/wiki/2018_no_cinema,2018
/wiki/Incredibles_2,Incredibles 2
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-15,15
/wiki/2017_no_cinema,2017
/wiki/The_Fate_of_the_Furious,The Fate of the Furious
/wiki/Universal_Pictures,Universal Pictures
#cite_note-16,16
/wiki/2013_no_cinema,2013
/wiki/Homem_de_Ferro_3,Iron Man 3
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-17,17
/wiki/2015_no_cinema,2015
/wiki/Minions_(filme),Minions
/wiki/Universal_Pictures,Universal Pictures
#cite_note-18,18
/wiki/2016_no_cinema,2016
/wiki/Captain_America:_Civil_War,Captain America: Civil War
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-19,19
/wiki/2011_no_cinema,2011
/wiki/Transformers:_Dark_of_the_Moon,Transformers: Dark of the Moon
/wiki/Paramount_Pictures,Paramount Pictures
#cite_note-20,20
/wiki/2003_no_cinema,2003
/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,The Lord of the Rings: The Return of the King
/wiki/New_Line_Cinema,New Line Cinema
#cite_note-21,21
/wiki/2012_no_cinema,2012
/wiki/Skyfall,Skyfall
/wiki/Columbia_Pictures,Columbia Pictures
#cite_note-22,22
/wiki/2014_no_cinema,2014
/wiki/Transformers:_Age_of_Extinction,Transformers: Age of Extinction
/wiki/Paramount_Pictures,Paramount Pictures
#cite_note-Box_Office_Mojo-23,23
/wiki/2012_no_cinema,2012
/wiki/The_Dark_Knight_Rises,The Dark Knight Rises
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-24,24
/wiki/2010_no_cinema,2010
/wiki/Toy_Story_3,Toy Story 3
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-toy3-25,25
/wiki/2006_no_cinema,2006
/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,Pirates of the Caribbean: Dead Man's Chest
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-26,26
/wiki/2016_no_cinema,2016
/wiki/Rogue_One:_A_Star_Wars_Story,Rogue One: A Star Wars Story
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-27,27
/wiki/2011_no_cinema,2011
/wiki/Pirates_of_the_Caribbean:_On_Stranger_Tides,Pirates of the Caribbean: On Stranger Tides
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-28,28
/wiki/2017_no_cinema,2017
/wiki/Despicable_Me_3,Despicable Me 3
/wiki/Universal_Pictures,Universal Pictures
